Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
BSL,BLUESCOPE STEEL LTD,Materials,Equity,8108313.21,0.56,8108313.21,588599,13.78,Australia,Asx - All Markets,USD,1.38,AUD,-
GPT,GPT GROUP STAPLED UNITS,Real Estate,Equity,8029396.41,0.55,8029396.41,2281213,3.52,Australia,Asx - All Markets,USD,1.38,AUD,-
EDV,ENDEAVOUR GROUP LTD,Consumer Staples,Equity,7988574.32,0.55,7988574.32,1592655,5.02,Australia,Asx - All Markets,USD,1.38,AUD,-
MPL,MEDIBANK PRIVATE LTD,Financials,Equity,7358860.72,0.5,7358860.72,3273875,2.25,Australia,Asx - All Markets,USD,1.38,AUD,-
TWE,TREASURY WINE ESTATES LTD,Consumer Staples,Equity,7270652.98,0.5,7270652.98,857605,8.48,Australia,Asx - All Markets,USD,1.38,AUD,-
EVN,EVOLUTION MINING LTD,Materials,Equity,7053041.33,0.48,7053041.33,2178263,3.24,Australia,Asx - All Markets,USD,1.38,AUD,-
MIN,MINERAL RESOURCES LTD,Materials,Equity,6789318.86,0.47,6789318.86,200635,33.84,Australia,Asx - All Markets,USD,1.38,AUD,-
LLC,LENDLEASE GROUP STAPLED UNITS,Real Estate,Equity,6332167.41,0.43,6332167.41,819571,7.73,Australia,Asx - All Markets,USD,1.38,AUD,-
WTC,WISETECHGLOBAL PTY LTD,Information Technology,Equity,6074516.61,0.42,6074516.61,174083,34.89,Australia,Asx - All Markets,USD,1.38,AUD,-
ALD,AMPOL LTD,Energy,Equity,5922796.93,0.41,5922796.93,283852,20.87,Australia,Asx - All Markets,USD,1.38,AUD,-
REA,REA GROUP LTD,Communication,Equity,5921731.39,0.41,5921731.39,62953,94.07,Australia,Asx - All Markets,USD,1.38,AUD,-
VCX,VICINITY CENTRES,Real Estate,Equity,5847131.71,0.4,5847131.71,4609753,1.27,Australia,Asx - All Markets,USD,1.38,AUD,-
AZJ,AURIZON HOLDINGS LTD,Industrials,Equity,5771999.77,0.4,5771999.77,2194001,2.63,Australia,Asx - All Markets,USD,1.38,AUD,-
IEL,IDP EDUCATION PTY LTDINARY,Consumer Discretionary,Equity,5218225.73,0.36,5218225.73,249050,20.95,Australia,Asx - All Markets,USD,1.38,AUD,-
ORI,ORICA LTD,Materials,Equity,5125815.85,0.35,5125815.85,479520,10.69,Australia,Asx - All Markets,USD,1.38,AUD,-
SOL,WASHINGTON H SOUL PATTINSON & COMP,Energy,Equity,4695590.39,0.32,4695590.39,254778,18.43,Australia,Asx - All Markets,USD,1.38,AUD,-
REH,REECE LTD,Industrials,Equity,4694753.75,0.32,4694753.75,342058,13.73,Australia,Asx - All Markets,USD,1.38,AUD,-
DMP,DOMINOS PIZZA ENTERPRISES LTD,Consumer Discretionary,Equity,4420228.36,0.3,4420228.36,72497,60.97,Australia,Asx - All Markets,USD,1.38,AUD,-
CWN,CROWN RESORTS LTD,Consumer Discretionary,Equity,3924437.05,0.27,3924437.05,438246,8.95,Australia,Asx - All Markets,USD,1.38,AUD,-
QAN,QANTAS AIRWAYS LTD,Industrials,Equity,3859100.41,0.26,3859100.41,1087468,3.55,Australia,Asx - All Markets,USD,1.38,AUD,-
UBFUT,CASH COLLATERAL AUD UBFUT,Cash and/or Derivatives,Cash Collateral and Margins,2168250,0.15,2168250,3000000,72.28,Australia,-,USD,1.38,AUD,"Oct 15, 2015"
EUR,EUR CASH,Cash and/or Derivatives,Cash,34648.86,0,34648.86,31556,109.8,European Union,-,USD,0.91,EUR,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,20000,0,20000,20000,1,United States,-,USD,1,USD,-
3357358Z,BGP HOLDINGS PLC - UNLISTED Prvt,Financials,Equity,207.39,0,207.39,18888372,0,Malta,NO MARKET (E.G. UNLISTED),USD,0.91,EUR,-
XPH2,SPI 200 MAR 22,Cash and/or Derivatives,Futures,0,0,26735172.98,207,5166.23,-,Asx - Trade24,USD,1.38,AUD,-
AUD,AUD/USD,Cash and/or Derivatives,FX,-1897.52,0,-1897.52,-641923,1,United States,-,USD,1.38,USD,-
USD,USD CASH,Cash and/or Derivatives,Cash,-221264.1,-0.02,-221264.1,-221264,100,United States,-,USD,1,USD,-
